Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
Unlicensed Taxis Detection Service Based on Large-Scale Vehicles Mobility Data,Y. Wang; X. Fan; X. Liu; C. Zheng; L. Chen; C. Wang; J. Li,"Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China; Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China; Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China; Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China; Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China; Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China; Fujian Key Lab. of Sensing & Comput. for Smart City, Xiamen Univ., Xiamen, China",2017 IEEE International Conference on Web Services (ICWS),,2017,,,857,861,"Unlicensed taxis are widely considered as major obstacles to city traffic regulation and public safety. Thus, many governments have issued restrictions for car-hailing services and alleged that the use of unlicensed vehicles was illegal. However, it is very challenging that traffic administrative enforcements face limited manpower to prohibit unlicensed taxis, due to costly and time-consuming procedure of on-site evidence collection. In this paper, we propose an effective service to incorporate human mobility mechanism into unlicensed taxis detection from massive city-wide vehicles. We first extract 276 spatio-temporal features, which are grouped into two categories, including daily behaviors and sustainable behaviors to capture the mobility characteristics of unlicensed taxis. Second, we investigate the detection accuracy of three machine learning techniques, viz. support vector machines, decision tree, and logical regression. We illustrate our approach using real-world vehicle license plate recognition dataset in Xiamen, China, which contains 336 million passing records for 6.2 million vehicles filmed by 439 devices in August 2016. Experimental results reveal that LR outperforms SVM and DT in prediction accuracy and F-score measurement, while SVM is capable of identifying the largest number of unlicensed taxis.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029849,unlicensed taxi;anomaly detection;human mobility;big data analytics,Public transportation;Sensors;Feature extraction;Licenses;Urban areas;Trajectory;Support vector machines,automobiles;decision trees;feature extraction;learning (artificial intelligence);optical character recognition;regression analysis;spatiotemporal phenomena;support vector machines;traffic engineering computing,city traffic regulation;public safety;car-hailing services;unlicensed vehicles;real-world vehicle license plate recognition dataset;unlicensed taxi detection service;large-scale vehicle mobility data;spatio-temporal feature extraction;sustainable behaviors;daily behaviors;machine learning techniques;F-score measurement;prediction accuracy;China;Xiamen;logical regression;decision tree;support vector machines,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Mobile Mechanic - An innovative step towards Digital Automobile Service,J. Philip; S. Nayak; S. Patel; Y. Devashrayee,"Department of Information Technology, Universal College of Engineering, Vasai, 401202; Universal College of Enaineering, Vasai, 401202; Universal College of Enaineering, Vasai, 401202; Universal College of Enaineering, Vasai, 401202",2018 International Conference on Smart City and Emerging Technology (ICSCET),,2018,,,1,6,"In the 21st century's work engrossed environment, everyone is in a rush to reach their destination on time, nothing should be a hindrance to their way of achieving their goal. Considering a real-life problem where a person faces troubles when their car breaks down in the middle of the road, can really become a major problem especially when this occurs on highways or distant places. This can be solved by using our application which can help the users to find nearby location of service or a repairing center. The application would be subdivided into two main sections namely the Mechanic's portal and the User's portal. Both these portals would require the respective user to either login or register themselves up before using the application. The location can be provided or obtained using the GPS available in mobile phones. The User's portal would display a map with the current location of themselves along with all the available repair shops around them, which shall be consistently updated using the plethora of location services available on Microsoft Azure Cloud. User can get detailed information about these shops along with a route to reach the desired mechanic shop, using Google Map API. Further, the same data shall be utilized for providing interest/choice based mechanic shops to future users, by implementing Data Analytics and Machine learning available as API's on Azure Cloud Services. This same data can be thereafter be cleansed and provided as employment opportunities for locations which have lesser mechanic reach and for various other assistance, by using Azure Big Data. The application will also be providing a SOS feature for women's safety and a DIY section consisting of videos and documents within the application would let the users try their hands at fixing their own vehicles on occasion of no network coverage or poor internet connectivity.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8537243,Cloud Computing;Big Data;Machine Learning;GPS;Google Map API;Data Analytics;SOS service;DIY;Mechanic Service;Women Safety;Digital India,Portals;Roads;Google;Registers;Password;Mobile handsets;Databases,application program interfaces;automobiles;cloud computing;data analysis;Global Positioning System;Internet;learning (artificial intelligence);mobile computing;mobile handsets;portals;traffic engineering computing,repairing center;Mechanic's portal;mobile phones;location services;Microsoft Azure Cloud;Google Map API;mechanic shops;Azure Cloud Services;Azure Big Data;DIY section;mobile mechanic;digital automobile service;GPS;repair shops;data analytics;machine learning,,,6,,,,,IEEE,IEEE Conferences,,,,,,
Analysis on the Development Path of Smart City in the Era of Big Data,S. Xiong; B. Ye,"College of Literature, Law and Economics, Wuhan University of Science and Technology, Wuhan, China; College of Literature, Law and Economics, Wuhan University of Science and Technology, Wuhan, China",2019 IEEE 4th International Conference on Big Data Analytics (ICBDA),,2019,,,177,181,"Big data is the key support of smart city. At present, the application of big data technology is more and more mature, which provides a new way for the development of smart city. In this underground, the development of smart city is imminent. Singapore ranks among the best in the world in terms of smart city, and its experience is worth learning. This article makes a theoretical analysis of the construction of smart cities and introduces the development of smart cities in China. Then it analyses the case of Singapore's smart national planning, summarizes Singapore's experience, and finally puts forward some inspiration for the development of China's smart city.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8713243,big data;smart city construction;Smart Nation;case analysis,Smart cities;Government;Big Data;Cloud computing;Data centers,Big Data;smart cities;town and country planning,smart city;Big Data;Singapore;China;smart national planning,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Deep cross altitude visual interpretation for service robotic agents in smart city,M. H. Abbasi; B. Majidi; M. T. Manzuri,"Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",2018 6th Iranian Joint Congress on Fuzzy and Intelligent Systems (CFIS),,2018,,,79,82,"Multi-agent robotic platforms are increasingly used for various commercial applications. In this paper, a cross altitude visual analytic framework for a group of robots, singularly referred to as MOdular RApidly Deployable Decision Support Agent (MORAD DSA), used for decision support and various services in the smart city environment is presented. The robotic subsystem consists of two agents operating in different altitudes. These agents give the decision support system the ability to have encompassing view of the operating environment. The visual analytic system which is the focus of this paper uses a deep convolutional neural network to learn the complex patterns required by the urban management responsibilities. Several smart city applications such as sidewalk pavement inspection, sidewalk sweeping, rubbish detection and parks management scenarios are used for real world simulation of the proposed framework. The experimental results show that the proposed algorithm is capable of performing complex inspection and decision-making tasks required for smart city management.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8336636,Robotics;Computer Vision;Intelligent Systems;Deep Learning;Machine Learning,Smart cities;Robots;Inspection;Task analysis;Visualization;Machine vision,data analysis;data visualisation;decision support systems;inspection;mobile robots;multi-agent systems;multi-robot systems;neurocontrollers;robot vision;service robots;town and country planning,rubbish detection;smart city management;deep cross altitude visual interpretation;service robotic agents;multiagent robotic platforms;cross altitude visual analytic framework;MORAD DSA;robotic subsystem;decision support system;deep convolutional neural network;urban management responsibilities;smart city applications;sidewalk pavement inspection;inspection;modular rapidly deployable decision support agent;sidewalk sweeping;parks management,,12,10,,,,,IEEE,IEEE Conferences,,,,,,
A Support Infrastructure for Machine Learning at the Edge in Smart City Surveillance,P. Bellavista; P. Chatzimisios; L. Foschini; M. Paradisioti; D. Scotece,"University of Bologna,Department of Computer Science and Engineering,,Bologna BO,Italy,40126; CSSN Research Lab Thessaloniki,Department of Informatics Alexander TEI of Thessaloniki,Greece; University of Bologna,Department of Computer Science and Engineering,,Bologna BO,Italy,40126; CSSN Research Lab Thessaloniki,Department of Informatics Alexander TEI of Thessaloniki,Greece; University of Bologna,Department of Computer Science and Engineering,,Bologna BO,Italy,40126",2019 IEEE Symposium on Computers and Communications (ISCC),,2019,,,1189,1194,"Nowadays, the massive usage of mobile and IoT applications generate large amounts of data. Due to several reasons, including latency and bandwidth, it is not practical to send all generated data to the cloud. Recent standardization efforts, namely, Fog computing and the Multi-access Edge Computing (MEC), provide an extension of Cloud computing storage and network resources placed in a geographically distributed manner at the edge of the network closer to mobiles and IoT devices. These paradigms allow low latency, high bandwidth, and location-based awareness. In this paper, we present an infrastructure to support distributed Machine Learning (ML) by enabling edge devices to collaboratively learn a shared model while keeping local knowledge stored at the edge of the network. In addition, we claim the possibility of improving the model through the cloud that acts as a supervisor of the system that contains the global knowledge of the entire system through the integration of local edge models. We describe our architectural proposal and analyze a case study, namely video streaming processing for face recognition, deployed in a collaborative edge network. Finally, we report experimental results that show the potential advantages of using our approach instead of ML algorithms completely expected at the cloud infrastructure.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8969779,Edge Computing;Collaborative Edge;Machine Learning;Smart City;Video Analytics;Face recognition,,cloud computing;Internet of Things;learning (artificial intelligence);mobile computing;smart cities;surveillance,support infrastructure;machine learning;smart city surveillance;IoT applications;Fog computing;Multiaccess Edge Computing;MEC;Cloud computing storage;IoT devices;location-based awareness;distributed Machine;edge devices;shared model;global knowledge;local edge models;collaborative edge network;cloud infrastructure;network resources;face recognition;video streaming processing,,,18,,,,,IEEE,IEEE Conferences,,,,,,
Big Data Analytics Architecture for Internet-of-Vehicles Based on the Spark,D. Liu,"Dept. of Comput. Sci. & Technol., Neusoft Inst. of Inf., Dalian, China","2018 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",,2018,,,13,16,"Internet-of-Vehicles (IoV) technology is the development trend of the intelligent traffic management system, it is also an effective means to ease traffic and improve traffic efficiency. This article used big data analysis technology to build a big data analysis platform of intelligent transportation, the platform is decomposed into infrastructure layer, data analysis layer and application layer; All vehicle information are acquired by several in-vehicle sensors on ECUs or roadside, and the acquired sensor data and received information are for information fusion, processing, trajectory prediction and risk assessment. The platform can solve the problem of storage, analysis and multi terminal distribution of mass data, provide traffic information services to traffic management departments and the public, it is a useful attempt to apply advanced information technology to the transportation industry.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8332695,Sensors;Big-data;Internet-of-Vehicles;Fusion,Conferences;Transportation;Big Data;Smart cities,Big Data;data analysis;Internet of Things;sensor fusion;traffic information systems;transportation,data analysis layer;vehicle information;Spark;intelligent transportation;big data analysis technology;traffic efficiency;intelligent traffic management system;internet-of-Vehicles technology;big data analytics architecture;traffic management departments;traffic information services;risk assessment;information fusion;acquired sensor data,,1,9,,,,,IEEE,IEEE Conferences,,,,,,
Study and Analysis of Smart Applications in Smart City Context,J. Sahoo; M. Rath,"Dept. of CSE, C.V. Raman Coll. of Eng., Raman, India; Dept. of IT, C.V. Raman Coll. of Eng., Raman, India",2017 International Conference on Information Technology (ICIT),,2017,,,225,228,"Now a days, governments of different countries are considering implementing the smart city concept in their major cities in social, technical, economic, and political sectors by executing big data applications, thus offering opportunities for constant refinement of the concept of smart city. Smart cities utilize multiple technologies to improve the performance of health, transportation, energy, education, water services and waste management system to improve the living standards of their citizens. In transportation system, the city government needed better ways to monitor and manage local traffic to provide better transportation services to the public. The digital monitoring devices installed in the city's key checkpoints capture images and video data continuously. The increasing amount of traffic data now poses challenges in the city's ability to effectively manage traffic. One of the recent technologies that has a huge potential to address the challenge is big data analytics. Effective analysis and utilization of big data is a key factor for success in many business and service domains, including the smart city domain. This paper presents a detail review on different issues and applications of it in smart city implementation under a heterogeneous network condition such as cloud computing, wireless network and smart grid applications.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8423912,Smart City;Traffic Management;Video Monitoring System;Signal System,Smart cities;Big Data;Data visualization;Monitoring;Cloud computing;Data analysis,Big Data;data analysis;image capture;public administration;smart cities;system monitoring;traffic engineering computing;video signal processing,city government;video data;big data analytics;smart applications;smart city context;smart city concept;big data;digital monitoring devices;image capture;public services;traffic management,,,22,,,,,IEEE,IEEE Conferences,,,,,,
Travel Time Prediction: Comparison of Machine Learning Algorithms in a Case Study,F. Goudarzi,"Coll. of Eng., Design & Phys. Sci., Brunel Univ. London, Uxbridge, UK",2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2018,,,1404,1407,"Travel time prediction has important applications within the field of intelligent transportation, such as vehicle routing, congestion and traffic management. A challenging task in travel time prediction is obtaining data that is not readily available, as a clear majority of links in roads network are not equipped with traffic sensors. In this paper, data of travel time is collected for a link using Google Maps Application Programming Interface (API). Then, travel times are predicted for short horizons of up to one hour on the link by applying machine learning algorithms. The Mean Absolute Error (MAE) of predictions are compared. The study indicates that a shallow Artificial Neural Network (ANN) can provide more accurate prediction than the other algorithms.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622970,Travel time prediction;Machine learning;Google maps API;Nearest neighbor;Linear regression;Neural network,Roads;Google;Artificial neural networks;Predictive models;Machine learning algorithms;Data models,application program interfaces;data handling;learning (artificial intelligence);mean square error methods;neural nets;road traffic;traffic engineering computing;transportation,travel time prediction;machine learning algorithms;intelligent transportation;vehicle routing;traffic management;traffic sensors;travel time data collection;mean absolute error;MAE;artificial neural network;ANN;Google Maps application programming interface;API,,,16,,,,,IEEE,IEEE Conferences,,,,,,
WeChat Text and Picture Messages Service Flow Traffic Classification Using Machine Learning Technique,M. Shafiq; X. Yu; A. A. Laghari; L. Yao; N. K. Karn; F. Abdesssamia; Salahuddin,"Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China",2016 IEEE 18th International Conference on High Performance Computing and Communications; IEEE 14th International Conference on Smart City; IEEE 2nd International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2016,,,58,62,"Network Traffic Classification carries great importance for both internet service providers (ISPs) and quality of services (QoSs) management. During the last two decades, a lot of machine learning models have been proposed and applied on different types of real time applications to classify their real time traffic and obtain very proficient accuracy results. However, no research has been done on WeChat text and picture messages traffic classification. In this paper, WeChat text and picture messages traffics are classified using two different types of datasets and 4 well-known machine learning algorithms. These two datasets, Harbin Institute of Technology (HIT) and Dorm13, are collected from two different network environments. Having captured the traffic 50 features, they are extracted respectively. Thereafter, well-known four machine learning algorithms C4.5 decision tree, Bayes Net, Naïve Bayes and SVM are used to classify WeChat text and picture messages traffic. Experimental result analysis show that using HIT data set all the applied machine learning classifiers classify WeChat text and picture messages traffic very accurately as compared to Dorm13 dataset. Using HIT dataset, all ML classifier perform very well, but C4.5 and SVM are the ones that give very effective accuracy results of 99.91% and 99.57% respectively as compared to other ML classifiers.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828360,Traffic Classification;WeChat;Message;Text and Picture;Machine Learning,Machine learning algorithms;Support vector machines;Training;Classification algorithms;Feature extraction;Decision trees;Message service,Bayes methods;belief networks;decision trees;Internet;learning (artificial intelligence);pattern classification;quality of service;support vector machines;telecommunication traffic;text analysis,SVM;naïve Bayes;Bayes net;decision tree;Dorm13;HIT;Harbin Institute of Technology;QoSs;quality of services;ISPs;Internet service providers;machine learning;picture messages service flow traffic classification;Wechat text,,4,23,,,,,IEEE,IEEE Conferences,,,,,,
Internet of things — smart traffic management system for smart cities using big data analytics,A. Sharif; J. Li; M. Khalil; R. Kumar; M. I. Sharif; A. Sharif,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 611731; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 611731; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 611731; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 611731; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 611731; Dept. of Computer Engineering, Comsats Institute of Information Technology, Wah Cantt., Pakistan",2017 14th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),,2017,,,281,284,Smart Traffic System (STS) is a one of the important aspect for future smart city. STS is more expensive and highly configurable to provide better quality of service for public traffic management. This paper proposes a low cost future STS to provide better service by deploying traffic update instantly. Low cost vehicle detecting sensors are fixed in the middle of road for every 500 meters. Internet of Things (IoT) is being used to attain public traffic data quickly and send it for data processing. The Real time streaming data is sent for Big Data analytics. There are several analytical scriptures to analyze the traffic density and provide solution through predictive analytics.,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8301496,Internet of Things;Big Data;Smart Cities;Smart Traffic Management System,Smart cities;Sensors;Big Data;Roads,Big Data;data analysis;Internet of Things;road traffic;smart cities;traffic engineering computing,STS;smart city;smart traffic management system;Internet of Things;IoT;Smart Traffic System;smart cities;predictive analytics;traffic density;analytical scriptures;big data analytics;data processing;public traffic data;low cost vehicle;traffic update;public traffic management,,5,16,,,,,IEEE,IEEE Conferences,,,,,,
